,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
198,Chukhloma,64.0,RU,1510851382.0,96.0,58.75,42.68,32.28,9.98
199,Maturin,44.0,VE,1510851326.0,67.0,9.75,-63.18,89.48,5.17
200,Husavik,40.0,IS,1510848000.0,100.0,66.04,-17.34,32.0,19.46
201,Channel-Port aux Basques,0.0,CA,1510851389.0,100.0,47.57,-59.14,38.4,2.82
202,Trelleborg,90.0,SE,1510849200.0,93.0,55.38,13.16,48.2,14.99
203,Kirkwall,40.0,GB,1510849200.0,75.0,58.98,-2.96,42.8,23.04
204,Cockburn Town,92.0,BS,1510851401.0,100.0,24.03,-74.52,79.35,14.0
205,Lebu,100.0,CL,1510851405.0,99.0,-37.62,-73.65,56.09,13.56
206,Methoni,40.0,GR,1510849200.0,68.0,36.82,21.7,66.2,6.93
207,Kalabo,0.0,ZM,1510851412.0,59.0,-14.97,22.68,70.26,10.76
208,Chuy,76.0,UY,1510851414.0,82.0,-33.7,-53.46,64.1,15.57
209,Kenai,90.0,US,1510849980.0,92.0,60.55,-151.26,21.2,4.7
210,Bathsheba,75.0,BB,1510848000.0,74.0,13.22,-59.52,87.8,14.99
211,Cubara,20.0,CO,1510851420.0,75.0,7.0,-72.11,80.66,2.37
212,Pevek,64.0,RU,1510851422.0,100.0,69.7,170.31,8.66,14.34
213,Florianopolis,0.0,BR,1510848000.0,36.0,-27.6,-48.55,91.4,14.99
214,Saint George,20.0,BM,1510847700.0,60.0,32.38,-64.68,73.4,11.41
215,Stellenbosch,20.0,ZA,1510848000.0,49.0,-33.93,18.87,68.0,20.8
216,Hobyo,0.0,SO,1510851429.0,78.0,5.35,48.53,79.35,14.0
217,Suntar,44.0,RU,1510851431.0,60.0,62.14,117.63,-6.87,6.4
218,Barra do Garcas,75.0,BR,1510848000.0,88.0,-15.89,-52.26,75.2,2.24
219,Vawkavysk,92.0,BY,1510851434.0,97.0,53.16,24.45,38.9,5.39
220,Changji,90.0,CN,1510848000.0,100.0,44.02,87.32,32.0,2.24
221,Talnakh,0.0,RU,1510851438.0,53.0,69.49,88.4,-31.49,2.93
222,Boone,1.0,US,1510850100.0,41.0,36.22,-81.67,60.8,12.75
223,Clarence Town,80.0,BS,1510851445.0,100.0,23.1,-74.98,79.35,13.22
224,Buraydah,0.0,SA,1510848000.0,31.0,26.33,43.98,75.2,9.17
225,Atar,44.0,MR,1510851451.0,15.0,20.52,-13.05,82.28,3.38
226,Grindavik,75.0,IS,1510848000.0,59.0,63.84,-22.43,35.6,14.99
227,Rizhao,76.0,CN,1510851455.0,87.0,35.43,119.46,50.15,7.07
228,Xining,0.0,CN,1510851456.0,61.0,36.62,101.77,15.86,1.59
229,Lorengau,36.0,PG,1510851458.0,100.0,-2.02,147.27,82.73,6.06
230,Ahipara,24.0,NZ,1510851460.0,100.0,-35.17,173.17,56.0,13.11
231,Zdvinsk,92.0,RU,1510851462.0,86.0,54.7,78.66,15.5,14.12
232,La Palma,92.0,PA,1510851464.0,96.0,8.4,-78.15,79.13,9.98
233,Orlik,0.0,RU,1510851466.0,31.0,52.52,99.83,-25.64,1.92
234,Villazon,0.0,BO,1510851468.0,31.0,-22.09,-65.59,65.99,5.95
235,Pisco,0.0,PE,1510848000.0,77.0,-13.7,-76.22,66.2,11.41
236,Port Hardy,75.0,CA,1510848480.0,100.0,50.7,-127.42,35.6,0.25
237,Nyamuswa,75.0,TZ,1510848000.0,83.0,-1.9,34.02,75.2,6.93
238,Conde,75.0,BR,1510848000.0,54.0,-7.26,-34.91,84.2,17.22
239,Vangaindrano,76.0,MG,1510851477.0,93.0,-23.35,47.6,71.84,5.39
240,Kodiak,90.0,US,1510847580.0,69.0,57.79,-152.41,39.2,14.99
241,Port Lincoln,0.0,AU,1510851485.0,100.0,-34.73,135.87,53.84,10.76
242,Rio Gallegos,90.0,AR,1510848000.0,93.0,-51.62,-69.22,48.2,14.99
243,Lagoa,20.0,PT,1510851488.0,99.0,39.05,-27.98,67.7,8.75
244,Dakar,0.0,SN,1510849800.0,42.0,14.69,-17.44,86.0,10.29
245,Svetlaya,0.0,RU,1510851492.0,100.0,46.54,138.33,14.51,12.77
246,Yako,0.0,BF,1510851494.0,31.0,12.97,-2.27,85.11,4.72
247,Fort Nelson,90.0,CA,1510848000.0,77.0,58.81,-122.7,3.2,5.82
248,Coruripe,68.0,BR,1510851499.0,90.0,-10.13,-36.18,80.3,14.67
249,Parrita,75.0,CR,1510848000.0,60.0,9.52,-84.32,77.0,12.75
250,Dehloran,0.0,IR,1510851503.0,84.0,32.69,47.27,52.58,3.15
251,Shitkino,48.0,RU,1510851505.0,66.0,56.37,98.35,-4.58,2.59
252,Faanui,76.0,PF,1510851508.0,97.0,-16.48,-151.75,81.96,13.22
253,Havelock,1.0,US,1510851360.0,48.0,34.88,-76.9,64.4,11.41
254,Hofn,0.0,IS,1510848000.0,50.0,64.25,-15.21,30.2,5.82
255,Takoradi,92.0,GH,1510851516.0,100.0,4.88,-1.76,77.1,10.87
256,Narsaq,75.0,GL,1510847400.0,85.0,60.92,-46.05,24.8,4.7
257,Port-de-Bouc,0.0,FR,1510849800.0,53.0,43.4,4.98,51.8,10.29
258,Klaksvik,32.0,FO,1510849200.0,86.0,62.23,-6.59,37.4,40.26
259,Tual,88.0,ID,1510851530.0,100.0,-5.67,132.75,79.31,1.92
260,Antofagasta,40.0,CL,1510848000.0,68.0,-23.65,-70.4,64.4,13.87
261,Geraldton,90.0,AU,1510850460.0,77.0,-28.77,114.6,69.8,10.29
262,La Romana,90.0,DO,1510848000.0,78.0,18.43,-68.97,84.2,9.17
263,Marystown,0.0,CA,1510851539.0,92.0,47.17,-55.15,40.52,11.21
264,Skibbereen,20.0,IE,1510849800.0,65.0,51.55,-9.27,44.6,5.82
265,Jiazi,68.0,CN,1510851543.0,100.0,22.88,116.07,71.03,9.75
266,Huarmey,0.0,PE,1510851545.0,56.0,-10.07,-78.15,72.38,4.16
267,Roura,75.0,GF,1510849800.0,59.0,4.73,-52.33,89.6,12.75
268,Saldanha,0.0,ZA,1510848000.0,46.0,-33.01,17.94,69.8,14.99
269,Braco do Norte,64.0,BR,1510851551.0,66.0,-28.27,-49.17,77.1,11.21
270,Baherden,0.0,TM,1510851553.0,86.0,38.44,57.43,39.71,2.82
271,Lazaro Cardenas,0.0,MX,1510851397.0,82.0,17.96,-102.2,84.44,3.38
272,Colesberg,0.0,ZA,1510851557.0,71.0,-30.72,25.1,43.94,11.88
273,Malacacheta,32.0,BR,1510851559.0,65.0,-17.84,-42.08,77.06,5.61
274,Peniche,0.0,PT,1510849800.0,45.0,39.36,-9.38,68.0,4.7
275,Kruisfontein,92.0,ZA,1510851563.0,91.0,-34.0,24.73,58.88,6.17
276,Makakilo City,90.0,US,1510850700.0,61.0,21.35,-158.09,77.0,13.87
277,Mao,0.0,TD,1510851566.0,20.0,14.12,15.31,82.19,8.97
278,Kushima,24.0,JP,1510851568.0,100.0,31.46,131.23,61.4,3.6
279,Shimoda,48.0,JP,1510851570.0,100.0,34.67,138.95,55.41,11.88
280,Manggar,48.0,ID,1510851572.0,100.0,-2.88,108.27,76.79,2.59
281,Paamiut,64.0,GL,1510851574.0,100.0,61.99,-49.67,32.42,3.6
282,Seydisehir,0.0,TR,1510851576.0,83.0,37.42,31.85,36.65,2.15
283,Kigoma,75.0,TZ,1510848000.0,88.0,-4.88,29.63,78.8,5.82
284,Taoudenni,20.0,ML,1510851580.0,17.0,22.68,-3.98,69.63,8.63
285,Omsukchan,20.0,RU,1510851583.0,78.0,62.53,155.8,-5.79,5.06
286,Opole Lubelskie,20.0,PL,1510851585.0,88.0,51.15,21.97,31.07,6.4
287,Lavrentiya,88.0,RU,1510851587.0,100.0,65.58,-171.0,29.18,14.23
288,Khanpur,0.0,PK,1510851591.0,94.0,28.65,70.66,60.5,8.63
289,Kahului,40.0,US,1510848000.0,83.0,20.89,-156.47,71.6,8.05
290,Effingham,90.0,US,1510850100.0,74.0,39.12,-88.54,37.4,4.7
291,Namatanai,48.0,PG,1510851596.0,100.0,-3.67,152.43,83.4,2.15
292,Bodden Town,20.0,KY,1510851000.0,74.0,19.28,-81.25,84.2,12.75
293,Isangel,8.0,VU,1510851600.0,100.0,-19.55,169.27,75.62,13.67
294,Canico,40.0,PT,1510849800.0,68.0,32.63,-16.85,69.8,9.17
295,Tessaoua,0.0,NE,1510851611.0,62.0,13.76,7.99,81.92,3.04
296,Mitu,75.0,CO,1510848000.0,88.0,1.2,-70.17,80.6,1.92
297,Lusambo,76.0,CD,1510851617.0,75.0,-4.97,23.45,76.38,4.27
298,Susanville,90.0,US,1510850100.0,93.0,40.42,-120.65,44.6,7.96
299,Culpeper,1.0,US,1510848900.0,47.0,38.47,-78.0,59.0,9.17
300,Abbeville,1.0,US,1510850100.0,73.0,29.97,-92.13,73.4,4.7
301,Toledo,0.0,ES,1510849800.0,25.0,39.86,-4.02,66.2,2.24
302,Badulla,88.0,LK,1510851628.0,98.0,6.99,81.06,68.55,2.15
303,Esperance,56.0,AU,1510851630.0,41.0,-33.87,121.9,67.88,19.82
304,Ust-Nera,56.0,RU,1510851544.0,67.0,64.57,143.2,-17.49,2.04
305,Magadan,90.0,RU,1510848000.0,92.0,59.57,150.8,19.4,2.24
306,Cap Malheureux,75.0,MU,1510848000.0,94.0,-19.98,57.61,75.2,3.36
307,Tshikapa,88.0,CD,1510851637.0,95.0,-6.42,20.8,72.02,3.71
308,Pravda,44.0,RU,1510848000.0,92.0,46.94,142.01,15.8,6.71
309,Saint-Pierre,0.0,PM,1510848000.0,56.0,46.77,-56.17,41.0,12.75
310,Colquechaca,20.0,BO,1510851643.0,31.0,-18.67,-66.02,68.28,2.48
311,Carauari,56.0,BR,1510851645.0,52.0,-4.88,-66.9,94.61,3.94
312,Beidao,92.0,CN,1510851647.0,100.0,34.57,105.89,39.35,2.26
313,Severo-Kurilsk,80.0,RU,1510851648.0,90.0,50.68,156.12,42.59,14.34
314,Hasaki,75.0,JP,1510848000.0,70.0,35.73,140.83,44.6,11.41
315,Broome,36.0,AU,1510849800.0,54.0,-17.97,122.23,84.2,12.75
316,Whitehorse,75.0,CA,1510848540.0,83.0,60.72,-135.05,-4.01,6.93
317,Santiago del Estero,24.0,AR,1510851569.0,40.0,-27.8,-64.26,75.53,8.75
318,Okhtyrka,24.0,UA,1510851661.0,86.0,50.31,34.9,27.6,3.6
319,Bilma,0.0,NE,1510851666.0,28.0,18.69,12.92,70.8,7.74
320,Arraial do Cabo,20.0,BR,1510851600.0,62.0,-22.97,-42.03,95.0,16.11
